72	Buchnera aphidicola_AW;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
73	GCA-005144965 sp005144965;GCA-005144965;Sphingomonadaceae;Sphingomonadales;Alphaproteobacteria;Proteobacteria	Hankyongella ginsenosidimutans;Hankyongella;Sphingomonadaceae;Sphingomonadales;Alphaproteobacteria;Proteobacteria
74	Buchnera aphidicola_AP;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
75	Micrococcus luteus_A;Micrococcus;Micrococcaceae;Actinomycetales;Actinomycetia;Actinobacteriota	Micrococcus luteus;Micrococcus;Micrococcaceae;Micrococcales;Actinomycetia;Actinobacteria
76	Buchnera aphidicola_T;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
77	Nitrosomonas stercoris;Nitrosomonas;Nitrosomonadaceae;Burkholderiales;Gammaproteobacteria;Proteobacteria	Nitrosomonas stercoris;Nitrosomonas;Nitrosomonadaceae;Nitrosomonadales;Betaproteobacteria;Proteobacteria
78	Serratia marcescens;Serratia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Serratia marcescens;Serratia;Yersiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
79	Enterobacter sesami;Enterobacter;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Enterobacter asburiae;Enterobacter;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
80	Streptomyces mirabilis_B;Streptomyces;Streptomycetaceae;Streptomycetales;Actinomycetia;Actinobacteriota	Streptomyces sp. S1D4-14;Streptomyces;Streptomycetaceae;Streptomycetales;Actinomycetia;Actinobacteria
81	Rubrobacter_B xylanophilus_A;Rubrobacter_B;Rubrobacteraceae;Rubrobacterales;Rubrobacteria;Actinobacteriota	Rubrobacter xylanophilus;Rubrobacter;Rubrobacteraceae;Rubrobacterales;Rubrobacteria;Actinobacteria
82	Halomonas sulfidaeris;Halomonas;Halomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria	Halomonas sulfidaeris;Halomonas;Halomonadaceae;Oceanospirillales;Gammaproteobacteria;Proteobacteria
